ID,Paddy,Rice,UseForAnalyses,Justification,LabCode,C14Age,C14Error,Method,Delta13C,Delta13C_IRMS,MaterialClass,MaterialDetails,MaterialDetails_En,Context,SiteName,SiteName_En,SiteAddress,Latitude,Longitude,Prefecture,Region,Source,PublicationYear,Reference,Note,Problem
1,FALSE,TRUE,TRUE,,136469,650,40,AMS,NA,-24.1,Charred Seed,炭化種実(炭化米),carbonized seed/nuts rice (Oryza sativa),試料名:№6　C3区SC7,林遺跡(第4次調査),Hayashiiseki（Dai4jichosa）,延岡市伊形町2120-1他,32.52908056,131.6702389,Miyazaki,Kyushu,Rekihaku 14C Database,2008,宮崎県埋蔵文化財センター発掘調査報告書　第174集　林遺跡Ⅱ　一般国道10号延岡道路建設事業に伴う埋蔵文化財発掘調査報告書4,Labcode is verbatim as in the site report with no reference to the name of the lab,Solved
2,FALSE,TRUE,TRUE,,Beta-100179,620,50,AMS,NA,-23.3,Charred Seed,炭化米（イネ）,carbonized rice (Oryza sativa),"第Ⅱ文化層　5層　灰集中DA55, U-39-C55b",K39遺跡第3次調査（大木地点）,K36isekidai3jichosa（Okichiten）,札幌市中央区北11条西14丁目1-10,43.07331944,141.3336611,Hokkaido,Hokkaido,Rekihaku 14C Database,1997,札幌市文化財調査報告書54　K39遺跡大木地点,,
3,FALSE,TRUE,TRUE,,Beta-100180,700,50,AMS,NA,-28.7,Charred Seed,炭化米（イネ）,carbonized rice (Oryza sativa),"第Ⅳ文化層　土坑覆土　土坑Pit12b, U-39-C12b",K39遺跡第3次調査（大木地点）,K36isekidai3jichosa（Okichiten）,札幌市中央区北11条西14丁目1-10,43.07331944,141.3336611,Hokkaido,Hokkaido,Rekihaku 14C Database,1997,札幌市文化財調査報告書54　K39遺跡大木地点,,
4,TRUE,FALSE,,,Beta-117664,1440,70,Beta Counting,NA,-32.2,Wood,木杭,wooden stake wooden stake,試料名:№4　水田2(下位検出面),鳥ノ子遺跡,Torinokoiseki,宮崎市大字浮田字鳥ノ子,31.92276944,131.3790111,Miyazaki,Kyushu,Rekihaku 14C Database,2000,宮崎県埋蔵文化財センター発掘調査報告書　第23集　石塚遺跡･鳥ノ子遺跡　一般国道10号宮崎西バイパス建設事業に伴う発掘調査報告書(3),,
5,TRUE,FALSE,,,Beta-117665,2390,60,Beta Counting,NA,-25.5,Soil,土壌,soil,試料名:№5　水田2(下位検出面),鳥ノ子遺跡,Torinokoiseki,宮崎市大字浮田字鳥ノ子,31.92276944,131.3790111,Miyazaki,Kyushu,Rekihaku 14C Database,2000,宮崎県埋蔵文化財センター発掘調査報告書　第23集　石塚遺跡･鳥ノ子遺跡　一般国道10号宮崎西バイパス建設事業に伴う発掘調査報告書(3),,
6,TRUE,FALSE,,,Beta-122537,620,60,Beta Counting,NA,-23.9,Wood,木材,material wood,B水田面P-7,公田東遺跡,Kudenhigashiiseki,前橋市公田町,36.34745,139.0754694,Gunma,Kanto,Rekihaku 14C Database,1998,公田東遺跡ー発掘調査報告書ー,,
7,FALSE,TRUE,TRUE,,Beta-138182,590,40,AMS,NA,-25.4,Charred Seed,炭化米（イネ）,carbonized rice (Oryza sativa),"5a層　34-07区　炉址5HE08, K39N18-04",K39遺跡第6次,K39isekidai6ji,札幌市北区北18～19条西11～13丁目,43.08106111,141.3364389,Hokkaido,Hokkaido,Rekihaku 14C Database,2001,札幌市文化財調査報告書65　K39遺跡第6次調査（第5分冊）,,
8,TRUE,FALSE,,,Beta-144316,390,40,AMS,NA,-25.7,Other Charred Remains,炭化物,carbonized material,試料名:№1　文明軽石直下水田面,鴇尾遺跡,Tokinoiseki,都城市今町字有里,31.68796944,131.0315694,Miyazaki,Kyushu,Rekihaku 14C Database,2002,宮崎県埋蔵文化財センター発掘調査報告書　第65集　鴇尾遺跡･坂ノ下遺跡　農用地総合整備事業｢都城区域｣農業用道路建設に伴う埋蔵文化財発掘調査報告書(3),,
9,FALSE,TRUE,TRUE,,Beta-145777,1970,40,AMS,NA,-25.2,Charred Seed,炭化物(炭化米),carbonized material rice (Oryza sativa),6区 SI115,真田･北金目遺跡群,Sanada・Kitakanabeisekigun,平塚市北金目,35.36831944,139.2834806,Kanagawa,Kanto,Rekihaku 14C Database,2003,平塚市真田･北金目遺跡群発掘調査報告書3　第4分冊,,
10,FALSE,TRUE,TRUE,,Beta-145778,2000,40,AMS,NA,-25.3,Charred Seed,炭化物(炭化米),carbonized material rice (Oryza sativa),6区 SI115,真田･北金目遺跡群,Sanada・Kitakanabeisekigun,平塚市北金目,35.36831944,139.2834806,Kanagawa,Kanto,Rekihaku 14C Database,2003,平塚市真田･北金目遺跡群発掘調査報告書3　第4分冊,,
