Prefecture,Region,Area
Aichi,Chubu,Area5
Gifu,Chubu,Area5
Akita,Tohoku,Area7
Ishikawa,Chubu,Area5
Aomori,Tohoku,Area8
Chiba,Kanto,Area6
Ehime,Shikoku,Area3
Saga,Kyushu,Area1
Fukuoka,Kyushu,Area1
Miyazaki,Kyushu,Area2
Kochi,Shikoku,Area3
Oita,Kyushu,Area2
Nagasaki,Kyushu,Area1
Kumamoto,Kyushu,Area2
Hiroshima,Chugoku,Area3
Fukui,Chubu,Area5
Gunma,Kanto,Area6
Hokkaido,Hokkaido,
Fukushima,Tohoku,Area7
Kanagawa,Kanto,Area5
Hyogo,Kansai,Area4
Ibaraki,Kanto,Area6
Iwate,Tohoku,Area7
Kagoshima,Kyushu,Area2
Kagawa,Shikoku,Area4
Kyoto,Kansai,Area4
Mie,Kansai,Area4
Miyagi,Tohoku,Area7
Niigata,Chubu,Area5
Nagano,Chubu,Area5
Nara,Kansai,Area4
Tokyo,Kanto,Area6
Okayama,Chugoku,Area3
Okinawa,Kyushu,
Osaka,Kansai,Area4
Toyama,Chubu,Area5
Tottori,Chugoku,Area3
Saitama,Kanto,Area6
Shiga,Kansai,Area4
Shimane,Chugoku,Area3
Shizuoka,Chubu,Area5
Tochigi,Kanto,Area6
Tokushima,Shikoku,Area4
Yamagata,Tohoku,Area7
Yamanashi,Chubu,Area5
Wakayama,Kansai,Area4
Yamaguchi,Chugoku,Area3
