"ID","LabCode","C14Age","C14AgeError","MedianDate","Two-Sigma Range","Method","SiteName_jp","SiteName_en","Laitude","Longitude","Context","Prefecture","Region","PublicationYear","Reference","Notes","USED"
1,"136469",650,40,"1343 AD","1280AD-1329AD (0.441)|1334AD-1396AD (0.519)","AMS","林遺跡","Hayashiiseki",32.52908056,131.6702389,"試料名:№6　C3区SC7","Miyazaki","Kyushu",2008,"宮崎県埋蔵文化財センター発掘調査報告書　第174集　林遺跡Ⅱ　一般国道10号延岡道路建設事業に伴う埋蔵文化財発掘調査報告書4","LabCode was not fully reported.",TRUE
2,"Beta-100179",620,50,"1348 AD","1284AD-1409AD (0.957)","AMS","K39遺跡","K36iseki",43.07331944,141.3336611,"第Ⅱ文化層　5層　灰集中DA55, U-39-C55b","Hokkaido","Hokkaido",1997,"札幌市文化財調査報告書54　K39遺跡大木地点","Outside window of analysis",FALSE
3,"Beta-100180",700,50,"1298 AD","1226AD-1326AD (0.655)|1348AD-1394AD (0.301)","AMS","K39遺跡","K36iseki",43.07331944,141.3336611,"第Ⅳ文化層　土坑覆土　土坑Pit12b, U-39-C12b","Hokkaido","Hokkaido",1997,"札幌市文化財調査報告書54　K39遺跡大木地点","Outside window of analysis",FALSE
4,"Beta-138182",590,40,"1350 AD","1300AD-1371AD (0.651)|1377AD-1420AD (0.305)","AMS","K39遺跡","K36iseki",43.07331944,141.3336611,"5a層　34-07区　炉址5HE08, K39N18-04","Hokkaido","Hokkaido",2001,"札幌市文化財調査報告書65　K39遺跡第6次調査（第5分冊）","Outside window of analysis",FALSE
5,"Beta-145777",1970,40,"51 AD","48BC-131AD (0.923)|139AD-162AD (0.023)|189AD-201AD (0.012)","AMS","真田･北金目遺跡群","Sanada・Kitakanabeisekigun",35.36831944,139.2834806,"6区 SI115","Kanagawa","Kanto",2003,"平塚市真田･北金目遺跡群発掘調査報告書3　第4分冊","",TRUE
6,"Beta-145778",2000,40,"16 AD","95BC-73BC (0.031)|56BC-123AD (0.924)","AMS","真田･北金目遺跡群","Sanada・Kitakanabeisekigun",35.36831944,139.2834806,"6区 SI115","Kanagawa","Kanto",2003,"平塚市真田･北金目遺跡群発掘調査報告書3　第4分冊","",TRUE
7,"Beta-145779",1860,40,"179 AD","78AD-101AD (0.045)|106AD-251AD (0.883)|293AD-314AD (0.027)","AMS","真田･北金目遺跡群","Sanada・Kitakanabeisekigun",35.36831944,139.2834806,"32B地点　SI008","Kanagawa","Kanto",2003,"平塚市真田･北金目遺跡群発掘調査報告書3　第4分冊","",TRUE
8,"Beta-159752",2140,40,"168 BC","354BC-283BC (0.217)|230BC-48BC (0.738)","AMS","青谷上寺地遺跡","Aoyakamijichiiseki",35.51398889,134.0126194,NA,"Tottori","Chugoku",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
9,"Beta-159754",2150,40,"185 BC","355BC-280BC (0.274)|256BC-247BC (0.012)|232BC-51BC (0.669)","AMS","青谷上寺地遺跡","Aoyakamijichiiseki",35.51398889,134.0126194,NA,"Tottori","Chugoku",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
10,"Beta-159755",2110,40,"126 BC","348BC-311BC (0.074)|205BC-38BC (0.861)|13BC-3AD (0.02)","AMS","青谷上寺地遺跡","Aoyakamijichiiseki",35.51398889,134.0126194,NA,"Tottori","Chugoku",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
