"Model","Area","Median Posterior","90% HPDI (low)","90% HPDI (high)","Rhat","ESS"
"Model 0","I","980 BC","1127 BC","879 BC",1,41303
"Model 0","II","423 BC","681 BC","214 BC",1,38647
"Model 0","III","542 BC","1044 BC","239 BC",1.001,22877
"Model 0","IV","864 BC","1097 BC","674 BC",1,28556
"Model 0","V","655 BC","777 BC","553 BC",1,37402
"Model 0","VI","255 BC","459 BC","112 BC",1.001,13902
"Model 0","VII","166 BC","487 BC","36 AD",1,40628
"Model 0","VIII","442 BC","888 BC","163 BC",1.001,35192
"Model 1","I","1008 BC","1170 BC","890 BC",1,39691
"Model 1","II","422 BC","669 BC","219 BC",1,39580
"Model 1","III","889 BC","1039 BC","734 BC",1,33963
"Model 1","IV","796 BC","913 BC","677 BC",1,25548
"Model 1","V","648 BC","750 BC","558 BC",1,37101
"Model 1","VI","393 BC","580 BC","227 BC",1,28072
"Model 1","VII","293 BC","447 BC","157 BC",1,27413
"Model 1","VIII","231 BC","358 BC","121 BC",1,22794
"Model 2","I","1009 BC","1164 BC","886 BC",1,39378
"Model 2","II","421 BC","673 BC","220 BC",1,37939
"Model 2","III","891 BC","1036 BC","731 BC",1,30153
"Model 2","IV","798 BC","915 BC","676 BC",1.002,21822
"Model 2","V","646 BC","746 BC","556 BC",1,34049
"Model 2","VI","255 BC","452 BC","113 BC",1,20131
"Model 2","VII","162 BC","453 BC","29 AD",1,40000
"Model 2","VIII","408 BC","678 BC","186 BC",1,30937
